"No.","Time","Source","Destination","Protocol","Length","Info"
"1177","8.818416","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2606:4700::6810:5814","TCP","98","49363  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=937436128 TSecr=0 SACK_PERM=1"
"1178","8.821774","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","UDP","181","58748  >  54954 Len=119"
"1179","8.823462","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2606:4700::6810:5814","QUIC","147","Handshake, DCID=01c8d1d8, SCID=f38adcdd34c8ba"
"1180","8.823695","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2606:4700::6810:5814","QUIC","142","Protected Payload (KP0)"
"1181","8.823975","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2606:4700::6810:5814","QUIC","433","Protected Payload (KP0)"
"1182","8.830511","2606:4700::6810:5814","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","TCP","86","443  >  49363 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"1183","8.830588","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2606:4700::6810:5814","TCP","74","49363  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"1184","8.830875","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2606:4700::6810:5814","TLSv1.3","591","Client Hello"
"1185","8.832369","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","173","54954  >  58748 Len=111"
"1186","8.834270","2606:4700::6810:5814","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","QUIC","648","Protected Payload (KP0), DCID=17ed2fdad87a13826f0349"
"1187","8.834271","2606:4700::6810:5814","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","QUIC","86","Protected Payload (KP0), DCID=b2d51e65d0461ec0c97143"
"1188","8.834272","2606:4700::6810:5814","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","QUIC","86","Protected Payload (KP0), DCID=dddc7dfd33668172cb8a60"
