"No.","Time","Source","Destination","Protocol","Length","Info"
"5708","25.028011","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5709","25.029985","192.168.1.79","18.159.220.26","DTLSv1.2","963","Application Data"
"5710","25.030040","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5711","25.030132","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5712","25.030211","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5713","25.030307","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5714","25.038275","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5715","25.038276","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5716","25.038676","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5717","25.042546","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5718","25.042546","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5719","25.044170","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5720","25.054987","18.159.220.26","192.168.1.79","TCP","66","443  >  49427 [ACK] Seq=329 Ack=289 Win=243 Len=0 TSval=3092176497 TSecr=938451053"
"5721","25.070187","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5722","25.070297","192.168.1.79","18.159.220.26","DTLSv1.2","1007","Application Data"
"5723","25.070396","192.168.1.79","18.159.220.26","DTLSv1.2","1003","Application Data"
"5724","25.089974","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5725","25.089975","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5726","25.089975","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5727","25.089976","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5728","25.089976","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5729","25.089976","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5730","25.089977","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5731","25.090172","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5732","25.090173","18.159.220.26","192.168.1.79","DTLSv1.2","1231","Application Data"
"5733","25.090526","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5734","25.090608","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5735","25.112346","192.168.1.79","18.159.220.26","DTLSv1.2","1003","Application Data"
"5736","25.112392","192.168.1.79","18.159.220.26","DTLSv1.2","951","Application Data"
"5737","25.112522","192.168.1.79","18.159.220.26","DTLSv1.2","951","Application Data"
"5738","25.112635","192.168.1.79","18.159.220.26","DTLSv1.2","951","Application Data"
"5739","25.112707","192.168.1.79","18.159.220.26","DTLSv1.2","951","Application Data"
"5740","25.124825","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
